timestamp,x,y,z,pitch,yaw,roll,confidence,cpu_usage
351929,-0.00772234,0.00215101,0.00130821,72.3247,0.172397,176.643,0.26,167.089
351929,-0.00782594,0.00227428,0.00132498,72.3242,0.172763,176.644,0.26,167.126
351929,-0.00793106,0.00239895,0.0013411,72.3246,0.181416,176.652,0.26,167.159
351929,-0.00803535,0.00252297,0.00135746,72.3245,0.178297,176.649,0.26,167.194
351929,-0.00809251,0.00256641,0.00133732,72.3245,0.17795,176.649,0.26,167.235
351929,-0.00815025,0.00261028,0.00131698,72.3245,0.177599,176.65,0.26,167.441
351929,-0.00825564,0.00273606,0.00133264,72.3253,0.177095,176.648,0.26,167.475
351929,-0.00836088,0.00286143,0.00134841,72.325,0.174996,176.646,0.26,167.497
351929,-0.00846657,0.00298739,0.00136376,72.3248,0.171033,176.643,0.26,167.522
351929,-0.00857214,0.00311315,0.00137902,72.3251,0.176904,176.649,0.26,167.691
351929,-0.00863093,0.00315871,0.00135743,72.325,0.173735,176.646,0.26,167.724
351929,-0.00868828,0.00320321,0.00133621,72.3259,0.172427,176.645,0.26,167.85
351929,-0.00876817,0.00334635,0.00138174,72.3257,0.242932,176.718,0.23,168.015
351929,-0.00883957,0.00346864,0.00141422,72.326,0.244119,176.72,0.23,168.046
351929,-0.00889845,0.00352031,0.00139695,72.3261,0.244958,176.721,0.23,168.158
351929,-0.00897503,0.00364683,0.00142763,72.3271,0.243652,176.72,0.23,168.29
351929,-0.00906236,0.00384291,0.00150826,72.3266,0.245623,176.722,0.23,168.468
351929,-0.00913273,0.00396426,0.00154069,72.327,0.247329,176.724,0.23,168.501
351929,-0.00919133,0.00401565,0.00152314,72.3273,0.248938,176.726,0.23,168.582
351929,-0.00927952,0.00421256,0.00160329,72.3272,0.241833,176.719,0.23,168.867
351929,-0.00933997,0.00434167,0.0016438,72.3275,0.299738,176.78,0.24,169.076
351929,-0.0093932,0.0043952,0.00163052,72.3276,0.297095,176.778,0.24,169.286
351929,-0.00944919,0.00445151,0.00161655,72.3276,0.294315,176.775,0.24,169.302
351929,-0.00945549,0.00460862,0.00169132,72.329,0.292721,176.773,0.24,169.365
351929,-0.00948596,0.00471467,0.00172199,72.3291,0.291965,176.773,0.24,169.399
351929,-0.00951585,0.00482034,0.00175265,72.3291,0.288471,176.77,0.24,169.438
351929,-0.00954728,0.0049278,0.0017826,72.3296,0.287792,176.77,0.24,169.473
351929,-0.00960414,0.00498642,0.0017668,72.3299,0.286557,176.769,0.24,169.504
351929,-0.00966053,0.00504456,0.00175113,72.3303,0.285332,176.768,0.24,169.733
351929,-0.00964036,0.00525039,0.00187179,72.3306,0.282078,176.765,0.24,170.097
351929,-0.00956101,0.0053538,0.00195547,72.3332,0.337011,176.823,0.22,170.349
351929,-0.00960719,0.00541075,0.00194588,72.3336,0.33701,176.823,0.22,170.377
351929,-0.00954206,0.00553174,0.00205611,72.3327,0.332525,176.819,0.22,170.688
351929,-0.0095929,0.00559485,0.00204525,72.3326,0.330544,176.817,0.22,170.719
351929,-0.00964073,0.00565422,0.00203502,72.3324,0.32868,176.815,0.22,170.954
351929,-0.0095194,0.00580708,0.00220457,72.334,0.336943,176.823,0.22,171.094
351929,-0.00956722,0.00586704,0.00219389,72.3344,0.336165,176.822,0.22,171.127
351929,-0.00961864,0.00593153,0.0021824,72.3347,0.335328,176.821,0.22,171.16
351929,-0.00961255,0.00602646,0.00223084,72.3347,0.338599,176.826,0.22,171.218
351929,-0.00954627,0.00614688,0.00233995,72.3351,0.332735,176.82,0.22,171.281
351929,-0.00953982,0.00624084,0.00238829,72.3354,0.332278,176.82,0.22,171.352
351929,-0.00953247,0.00633385,0.00243684,72.3356,0.328883,176.817,0.22,171.588
351929,-0.00956553,0.00631727,0.00241356,72.3405,0.382203,176.873,0.31,171.791
351929,-0.00960357,0.00637544,0.00241004,72.3407,0.380792,176.872,0.31,171.833
351929,-0.00964759,0.00644275,0.00240597,72.3409,0.37916,176.871,0.31,172.047
351929,-0.00955523,0.00655183,0.00256279,72.3408,0.38087,176.873,0.31,172.193
351929,-0.00952998,0.00663819,0.00263942,72.341,0.378604,176.871,0.31,172.382
351929,-0.00943638,0.00674526,0.00279632,72.3411,0.379474,176.871,0.31,172.564
351929,-0.0094792,0.00681115,0.00279241,72.3414,0.381099,176.873,0.31,172.596
351929,-0.00945442,0.00689859,0.00286881,72.3407,0.375837,176.869,0.31,172.757
351929,-0.00918841,0.0070548,0.00322441,72.3492,0.429685,176.926,0.23,172.999
351929,-0.00912,0.00714675,0.00334618,72.3489,0.431472,176.928,0.23,173.119
351929,-0.00894943,0.00726551,0.00358557,72.349,0.429706,176.926,0.23,173.155
351929,-0.00888123,0.00735852,0.00370762,72.3492,0.427897,176.925,0.23,173.186
351929,-0.00891621,0.00742708,0.00371239,72.3494,0.426322,176.924,0.23,173.215
351929,-0.00895139,0.00749601,0.00371719,72.3496,0.424738,176.922,0.23,173.238
351929,-0.00898753,0.00756683,0.00372213,72.3498,0.42311,176.921,0.23,173.267
351929,-0.00881633,0.00768547,0.00396196,72.3504,0.435162,176.933,0.23,173.326
351929,-0.0087485,0.00777965,0.00408446,72.3508,0.435973,176.935,0.23,173.478
351929,-0.00867984,0.00787296,0.00420685,72.3507,0.436013,176.935,0.23,173.673
351929,-0.00877226,0.00788817,0.00411069,72.3589,0.467215,176.97,0.26,173.835
351929,-0.00870218,0.00795889,0.00421121,72.3582,0.472378,176.975,0.26,173.87
351929,-0.00863242,0.00802996,0.00431154,72.3595,0.473865,176.977,0.26,173.983
351929,-0.00856206,0.00809985,0.004412,72.359,0.471469,176.975,0.26,174.123
351929,-0.00849221,0.00817074,0.00451263,72.3594,0.467741,176.971,0.26,174.159
351929,-0.00842158,0.00823959,0.00461278,72.3603,0.465688,176.969,0.26,174.392
351929,-0.00835226,0.00831194,0.00471368,72.3597,0.465447,176.97,0.26,174.43
351929,-0.00828298,0.00838507,0.00481465,72.3609,0.47568,176.979,0.26,174.482
351929,-0.00821264,0.00845534,0.00491497,72.362,0.470112,176.974,0.26,174.715
351929,-0.00807847,0.00851492,0.00504762,72.3718,0.493738,177.002,0.32,175.03
351929,-0.00809202,0.00858022,0.00506783,72.3721,0.490375,176.999,0.32,175.226
351929,-0.00798688,0.00863992,0.00517684,72.3709,0.484624,176.994,0.32,175.38
351929,-0.00800126,0.00870967,0.00519839,72.3707,0.480317,176.99,0.32,175.412
351929,-0.00777655,0.00876213,0.0053948,72.3738,0.501231,177.009,0.32,175.462
351929,-0.00767118,0.00882285,0.00550367,72.3748,0.502274,177.01,0.32,175.573
351929,-0.00756575,0.00888381,0.0056125,72.3744,0.500858,177.01,0.32,175.761
351929,-0.0074599,0.00894427,0.00572121,72.3742,0.499378,177.008,0.32,175.805
351929,-0.00735438,0.00900688,0.0058306,72.3737,0.497529,177.007,0.32,175.853
351929,-0.00724822,0.00906729,0.00593901,72.3741,0.493647,177.004,0.32,175.898
351929,-0.00726143,0.00913856,0.00595998,72.3743,0.494689,177.005,0.32,175.927
351929,-0.00727476,0.00921129,0.00598115,72.3743,0.492426,177.003,0.32,176.257
351929,-0.0071527,0.00926097,0.00608408,72.3851,0.515777,177.031,0.28,176.45
351929,-0.00703527,0.00931264,0.0061888,72.3853,0.512342,177.028,0.28,176.642
351929,-0.00691745,0.00936364,0.00629325,72.3859,0.501915,177.018,0.28,176.681
351929,-0.00679935,0.0094141,0.00639718,72.386,0.502401,177.019,0.28,176.721
351929,-0.00668138,0.0094674,0.00650206,72.3861,0.498809,177.016,0.28,176.76
351929,-0.00656313,0.00951675,0.00660535,72.3862,0.498713,177.016,0.28,176.791
351929,-0.00656394,0.00958783,0.00663319,72.3863,0.497163,177.014,0.28,176.905
351929,-0.00616688,0.00958844,0.00691367,72.3982,0.510705,177.032,0.27,177.024
351929,-0.00600767,0.00960777,0.00703761,72.3983,0.510719,177.033,0.27,177.046
351929,-0.00584894,0.0096273,0.00716175,72.3984,0.507464,177.029,0.27,177.168
351929,-0.00568963,0.00964876,0.00728673,72.3994,0.508525,177.031,0.27,177.179
351929,-0.00553028,0.00966894,0.00741095,72.3988,0.513263,177.035,0.27,177.193
351929,-0.00537051,0.00969064,0.00753572,72.399,0.507996,177.031,0.27,177.216
351929,-0.00521057,0.00971186,0.00766024,72.3997,0.505228,177.028,0.27,177.361
351929,-0.00505034,0.00973276,0.00778454,72.3996,0.505015,177.028,0.27,177.373
351929,-0.00488981,0.00975421,0.00790898,72.3997,0.503861,177.027,0.27,177.413
351929,-0.00472896,0.00977623,0.00803354,72.3998,0.504784,177.028,0.27,177.515
351929,-0.00499324,0.00983753,0.00786592,72.4101,0.513648,177.041,0.25,177.666
351929,-0.00488623,0.00984032,0.00793739,72.4095,0.513934,177.042,0.25,177.69
351929,-0.00477891,0.00984361,0.00800916,72.4104,0.508098,177.036,0.25,177.705
351929,-0.0046711,0.00984803,0.00808141,72.4101,0.497494,177.027,0.25,177.821
351929,-0.00456223,0.00985525,0.00815523,72.4091,0.496654,177.027,0.25,177.839
351929,-0.00445404,0.00985943,0.00822717,72.4103,0.49706,177.027,0.25,177.944
351929,-0.00434656,0.00986155,0.00829799,72.4103,0.492616,177.023,0.25,177.958
351929,-0.00423795,0.00986618,0.00837019,72.4109,0.490679,177.021,0.25,177.98
351929,-0.00412915,0.00987096,0.00844243,72.4102,0.48522,177.016,0.25,178.091
351929,-0.00410698,0.0099357,0.00847932,72.4099,0.480901,177.013,0.25,178.108
351929,-0.0040846,0.010001,0.00851655,72.4095,0.476543,177.009,0.25,178.124
351929,-0.00406205,0.0100665,0.00855285,72.4109,0.479412,177.011,0.25,178.147
351929,-0.00403944,0.0101318,0.00858974,72.411,0.483601,177.016,0.25,178.269
351929,-0.00397028,0.0101187,0.00861085,72.4199,0.485643,177.021,0.21,178.4
351929,-0.00387346,0.0100923,0.00864729,72.4197,0.483128,177.019,0.21,178.418
351929,-0.00377587,0.0100674,0.00868456,72.4206,0.48252,177.019,0.21,178.439
351929,-0.00367857,0.0100418,0.00872123,72.4206,0.478245,177.015,0.21,178.706
351929,-0.00358058,0.0100173,0.00875865,72.421,0.474355,177.011,0.21,178.737
351929,-0.00348188,0.00999412,0.00879673,72.4209,0.47005,177.008,0.21,178.759
351929,-0.00338286,0.00997144,0.00883524,72.4202,0.468012,177.006,0.21,178.918
351929,-0.00328649,0.00994347,0.0088703,72.4206,0.466606,177.005,0.21,178.952
351929,-0.00318838,0.00991852,0.00890722,72.4203,0.461623,177.001,0.21,178.993
351929,-0.00315624,0.00998015,0.00894612,72.4201,0.457486,176.997,0.21,179.272
351929,-0.00303611,0.00990629,0.00897134,72.4282,0.465287,177.008,0.24,179.609
351929,-0.00300305,0.00995281,0.00900423,72.4285,0.465699,177.008,0.24,179.634
351929,-0.00286182,0.00982209,0.00900925,72.4273,0.45137,176.995,0.24,179.684
351929,-0.00277105,0.00978504,0.00903168,72.4277,0.450459,176.994,0.24,179.737
351929,-0.00268314,0.00974362,0.0090511,72.4277,0.449968,176.994,0.24,179.782
351929,-0.00259374,0.0097041,0.00907185,72.428,0.449791,176.994,0.24,179.836
351929,-0.00255764,0.00975384,0.00910673,72.4282,0.449435,176.994,0.24,179.871
351929,-0.00241664,0.00962228,0.00911171,72.4286,0.448043,176.993,0.24,180.13
351929,-0.00232525,0.00958494,0.00913423,72.4288,0.447243,176.992,0.24,180.168
351929,-0.00228905,0.00963431,0.00916907,72.429,0.4465,176.992,0.24,180.309
351929,-0.00225169,0.00968506,0.00920491,72.4299,0.44763,176.993,0.24,180.541
351929,-0.00212746,0.00952549,0.00917753,72.436,0.437989,176.987,0.23,180.857
351929,-0.00204874,0.00947839,0.0091841,72.436,0.433698,176.984,0.23,180.894
351929,-0.00200744,0.00952073,0.00921708,72.436,0.428956,176.979,0.23,180.939
351929,-0.00189373,0.00938099,0.00919513,72.4357,0.436676,176.987,0.23,181.142
351929,-0.0018508,0.00942448,0.00922922,72.4358,0.43922,176.99,0.23,181.171
351929,-0.00180792,0.00946793,0.00926327,72.4358,0.441762,176.992,0.23,181.193
351929,-0.00173045,0.00941844,0.00926793,72.4364,0.42494,176.976,0.23,181.239
351929,-0.00161473,0.00927965,0.00924608,72.4365,0.424676,176.976,0.23,181.291
351929,-0.00153493,0.00923208,0.00925221,72.4368,0.420343,176.973,0.23,181.51
351929,-0.00146169,0.00917968,0.00924561,72.4413,0.418659,176.973,0.26,181.697
351929,-0.00139683,0.00914437,0.00924517,72.4415,0.418908,176.974,0.26,181.738
351929,-0.00133041,0.00911015,0.00924556,72.4416,0.418573,176.974,0.26,181.78
351929,-0.00128445,0.00914699,0.00927616,72.4417,0.418227,176.973,0.26,181.951
351929,-0.00123721,0.00918486,0.00930761,72.4418,0.417871,176.973,0.26,181.992
351929,-0.00114826,0.00908054,0.00927835,72.4424,0.412183,176.967,0.26,182.327
351929,-0.00105803,0.00897751,0.00924969,72.4425,0.411545,176.967,0.26,182.578
351929,-0.000990974,0.00894342,0.00924934,72.4423,0.412547,176.968,0.26,182.616
351929,-0.000922238,0.00891045,0.00924987,72.4421,0.415151,176.972,0.26,182.796
351929,-0.000883111,0.00895993,0.00928064,72.4485,0.418194,176.978,0.2,183.008
351929,-0.000799479,0.00882382,0.00923689,72.4497,0.420449,176.979,0.2,183.155
351929,-0.000732125,0.00877099,0.00922865,72.4501,0.418991,176.978,0.2,183.182
351929,-0.000681823,0.00880091,0.00925552,72.4505,0.418193,176.978,0.2,183.207
351929,-0.000632517,0.00883023,0.00928186,72.4508,0.417412,176.977,0.2,183.23
351929,-0.000526503,0.00861414,0.00920408,72.4507,0.411455,176.972,0.2,183.292
351929,-0.00047761,0.00864303,0.00922935,72.4508,0.408784,176.97,0.2,183.326
351929,-0.000407537,0.00859112,0.00922128,72.4503,0.404248,176.965,0.2,183.6
351929,-0.000318018,0.00845756,0.00917866,72.4511,0.406282,176.967,0.2,183.647
351929,-0.000268193,0.0084863,0.00920353,72.4509,0.40571,176.967,0.2,183.692
351929,-0.000216522,0.00851609,0.00922927,72.4507,0.405005,176.967,0.2,183.721
351929,-0.000165132,0.00854547,0.00925437,72.4514,0.405928,176.968,0.2,183.91
351929,-0.000113843,0.00846534,0.009223,72.4559,0.404801,176.967,0.25,184.086
351929,-6.89503e-05,0.00841055,0.00920223,72.4573,0.404644,176.967,0.25,184.357
351929,-2.44571e-05,0.00835529,0.00918089,72.4569,0.39875,176.961,0.25,184.44
351929,2.29279e-05,0.00830118,0.0091606,72.4567,0.402056,176.965,0.25,184.597
351929,6.97464e-05,0.00824715,0.00913991,72.4569,0.397827,176.961,0.25,184.635
351929,0.000116788,0.00819297,0.00911917,72.4569,0.403566,176.967,0.25,184.831
351929,0.00016537,0.00813923,0.00909889,72.4572,0.410375,176.973,0.25,184.971
351929,0.000172736,0.00789262,0.00896763,72.4624,0.401021,176.964,0.29,185.077
351929,0.000203093,0.00781996,0.00893404,72.4618,0.399147,176.962,0.29,185.106
351929,0.000256189,0.00783634,0.00895133,72.4621,0.397528,176.961,0.29,185.129
351929,0.000288038,0.00776385,0.00891713,72.463,0.380751,176.946,0.29,185.178
351929,0.000318342,0.0076909,0.00888288,72.4625,0.384487,176.95,0.29,185.204
351929,0.000370763,0.00770681,0.00889927,72.4623,0.384329,176.95,0.29,185.394
351929,0.000385039,0.00754602,0.00881554,72.4634,0.384762,176.951,0.29,185.522
351930,0.000417568,0.00747309,0.00878126,72.4626,0.383315,176.95,0.29,185.568
